Subject Code,Faculty Code,Subject Name,Subject Short Name,Subject Level,Subject Length,Subject Value,Status,Subject Fee,ED Subject Group Code,ED Year Level,ED Subject Code,Instruction Time,SSABSA Subject Code,SACE Stage,SACE Units,Course Name,SACE Code,FTE,TRT Days,Enrol Date,End Date,GL Account,Transaction Ref,future SACE,Result Type
FLOCARE,AD,FLEXIBLE LEARNING OPTIONS CARE,,10,4,,I,,09,10,MS,,,,,FLOCARE,,0,0,,,,,N,
FORMAL,CC,FORMAL,,10,,,,,09,12,ZV,,,,,,,0,0,,,,,N,
FRENCH,SN,FRENCH OPEN ACCESS,,12,,,,,02,12,FR,,,,,,,0,0,,,,,N,
GRGOFF,AD,GREGORYS OFFICE,,09,,,,,09,09,MS,,,,,,,0,0,,,,,N,
HW CLUB,AD,HOMEWORK CLUB,,08,,,,,10,08,MS,,,,,,,0,0,,,,,N,
INEDSU,IN,INCLUSIVE ED SUPPORT,,11,,,,,10,11,ZV,,,,,,,0,0,,,,,N,
ISJART,SP,ART,,09,,,I,,07,09,AT,,,,,ISJART,,0,0,,,,,N,
ISJBG,SP,BOYS GROUP,,09,,,I,,09,09,ZZ,,,,,ISJBG,,0,0,,,,,N,
ISJHEA,SP,HEALTH,,09,,,I,,04,09,HA,,,,,ISJHEA,,0,0,,,,,N,
ISJLANA,SP,LANGUAGE A,,09,,,I,,02,09,LS,,,,,ISJLANB,,0,0,,,,,N,
ISJLANB,SP,LANGUAGE B,,09,,,I,,02,09,LS,,,,,ISJLANB,,0,0,,,,,N,
ISJMA,SP,MATHEMATICS,,09,,,I,,03,09,MA,,,,,ISJMA,,0,0,,,,,N,
ISJMM,SP,MULTIMEDIA,,09,,,I,,08,09,CP,,,,,ISJMM,,0,0,,,,,N,
ISJPE,SP,PHYSICAL EDUCATION,,09,,,I,,09,09,PE,,,,,SJPE,,0,0,,,,,N,
ISJSC,SP,SCIENCE,,09,,,I,,07,09,SC,,,,,ISJSC,,0,0,,,,,N,
ISJSE,SP,SOCIETY AND ENVIRONMENT,,09,,,I,,06,09,SV,,,,,ISJSE,,0,0,,,,,N,
ISJTS,SP,TECHNOLOGY,,09,,,I,,08,09,TS,,,,,ISJTS,,0,0,,,,,N,
ISJUAT,SP,ART,,09,,,I,,07,09,AT,,,,,ISJUAT,,0,0,,,,,N,
ISJUBG,SP,BOYS GROUP,,09,,,I,,09,09,ZZ,,,,,ISJUBG,,0,0,,,,,N,
ISJUIT,SP,INFORMATION TECHNOLOGY,,09,,,I,,08,09,CP,,,,,ISJUIT,,0,0,,,,,N,
ISJULANB,SP,LANGUAGE B,,09,,,I,,02,09,LS,,,,,ISJULANB,,0,0,,,,,N,
ISJUMU,SP,MUSIC,,09,,,I,,03,09,MU,,,,,ISJUMU,,0,0,,,,,N,
ISJUPE,SP,PHYSICAL EDUCATION,,09,,,I,,04,09,PE,,,,,ISJUPE,,0,0,,,,,N,
ISJUSE,SP,SOCIETY AND ENVIRONMENT,,09,,,I,,06,09,SV,,,,,ISJUSE,,0,0,,,,,N,
ISMBG,SP,BOYS AND GIRLS GROUP,,10,,,I,,09,10,ZZ,,,,,ISMBG,,0,0,,,,,N,
ISSUBG,SP,BOYS AND GIRLS GROUP,,11,,,I,,09,11,ZZ,,,,,ISSUBG,,0,0,,,,,N,
LINK,CC,LINK LEARNING,,08,,,,,09,08,ZZ,,,,,,,0,0,,,,,N,
LITCAFE,EG,LITERACY CAFE,,09,,,,,01,09,MS,,,,,,,0,0,,,,,N,
LLI,IN,LLI,,08,,,,,09,08,ZV,,,,,,,0,0,,,,,N,
LSUP,LS,LEARNING SUPPORT,,11,4,,O,,09,11,ZV,,,,,,,0,0,,,,,N,
MAILVET,VE,,,11,,,,,09,11,ZV,,,,,,,0,0,,,,,N,
MAMETH,MA,MATHEMATICAL METHODS,,12,,,,,03,12,MA,,,,,,,0,0,,,,,N,
MASJCARE,VE,D2C CARE,,11,,,,,09,11,ZV,,,,,,,0,0,,,,,N,
MOPUP,VE,MOP UP MAILING LIST,,12,,,,,09,12,ZV,,,,,,,0,0,,,,,N,
NEPSU,NP,NEP SUPPORT,,11,,,,,09,11,ZV,,,,,,,0,0,,,,,N,
NEPSUS2,NP,NEP SUPPORT SEM 2,,11,,,,,09,11,ZV,,,,,,,0,0,,,,,N,
NETACAD,AB,NETBALL ACADEMY,,12,,,,,04,12,PE,,,,,,,0,0,,,,,N,
PATROL,AD,PATROL,,10,4,,I,,09,10,MS,,,,,,,0,0,,,,,N,
PERS DEV,PD,PERSONAL DEVELOPMENT,,10,2,,I,,09,10,HQ,,,,,PERS DEV,,0,0,,,,,N,G
PHON,IN,PHONICS,PHON,08,,,,,09,08,ZV,,,,,,,0,0,,,,,N,
PYIMHS,SC,PHYSICS/METHODS,,12,,,,,05,12,SC,,,,,,,0,0,,,,,N,
SC1ART,SP,ART,,11,2,,,,07,11,AT,,,,,,,0,0,,,,,N,
SC1ART2,SP,VISUAL ART,,08,,,,,07,08,AT,,,,,,,0,0,,,,,N,
SC1ARTS,SP,MUSIC/DRAMA,,09,2,,O,,07,09,AT,,,,,,,0,0,,,,,N,
SC1DT,SP,TECHNOLOGY,,09,2,,O,,08,09,IF,,,,,,,0,0,,,,,N,
SC1ENG,SP,ENGLISH,,09,2,,O,,01,09,EG,,,,,,,0,0,,,,,N,
SC1FD,SP,FOOD,,09,2,,O,,08,09,FH,,,,,,,0,0,,,,,N,
SC1HUM,SP,HUMANITIES,,09,2,,O,,06,09,SV,,,,,,,0,0,,,,,N,N
SC1MTH,SP,MATHS,,09,2,,O,,03,09,MA,,,,,,,0,0,,,,,N,
SC1MUS,SP,MUSIC,,11,2,,O,,07,11,MU,,,,,,,0,0,,,,,N,
SC1SCI,SP,SCIENCE,,08,2,,O,,05,08,SC,,,,,,,0,0,,,,,N,
SC2ART,SP,ART,,11,2,,,,07,11,AT,,,,,,,0,0,,,,,N,
SC2ARTS,SP,CREATIVE ARTS,,11,2,,,,07,11,AT,,,,,,,0,0,,,,,N,
SC2BE,SP,BUSINESS & ENTERPRISE,,11,2,,,,06,11,BS,,,,,,,0,0,,,,,N,
SC2CD,SP,CROSS DISCIPLINARY,,11,2,,O,,09,11,ZV,,,,,,,0,0,,,,,N,
SC2DT,SP,DIGITAL TECHNOLOGY,,10,,,,,08,10,DT,,,,,,,0,0,,,,,N,
SC2ENG,SP,ENGLISH,,11,2,,O,,01,11,EG,,,,,,,0,0,,,,,N,
SC2FOODT,SP,FOOD TECHNOLOGY,,10,,,,,08,10,FH,,,,,0FOD,,0,0,,,,,N,
SC2HE,SP,HEALTH,,11,2,,O,,04,11,HA,,,,,,,0,0,,,,,N,
SC2HUM,SP,HUMANITIES,,11,2,,O,,06,11,SV,,,,,,,0,0,,,,,N,
SC2MTH,SP,MATHS,,11,2,,O,,03,11,MA,,,,,,,0,0,,,,,N,
SC2MUS,SP,MUSIC,,11,2,,O,,07,11,MU,,,,,,,0,0,,,,,N,
SC2RP,SP,RESEARCH PROJECT,,12,2,,O,,09,12,ZV,,,,,,,0,0,,,,,N,
SC2SC,SP,SOCIETY & CULTURE,,11,2,,O,,06,11,SS,,,,,,,0,0,,,,,N,
SC2SCI,SP,SCIENCE,,11,2,,O,,05,11,SC,,,,,,,0,0,,,,,N,
SC3ARTS,SP,ARTS,,11,2,,O,,07,11,AT,,,,,,,0,0,,,,,N,
SC3BI,SP,BUSINESS & INNOVATION,,11,2,,O,,06,11,BS,,,,,,,0,0,,,,,N,
SC3CD,SP,CROSS DISCIPLINARY STUDIES,,11,2,,O,,09,11,ZV,,,,,,,0,0,,,,,N,
SC3ENG,SP,ENGLISH,,11,2,,O,,01,11,EG,,,,,,,0,0,,,,,N,
SC3MTH,SP,MATHEMATICS,,11,2,,O,,03,11,MA,,,,,,,0,0,,,,,N,
SC3SC,SP,SOCIETY & CULTURE,,11,2,,O,,06,11,SV,,,,,,,0,0,,,,,N,
SJ1,SP,SJ1,,08,2,,I,,09,08,MS,,,,,,,0,0,,,,,N,
SJ2,SP,SJ2,,08,2,,I,,08,08,MS,,,,,,,0,0,,,,,N,
SJ3,SP,SJ3,,08,2,,I,,09,09,MS,,,,,,,0,0,,,,,N,
SJ4,SP,SJ4,,08,2,,I,,09,09,MS,,,,,,,0,0,,,,,N,
SJ6,SP,SJ6,,08,2,,I,,09,08,MS,,,,,,,0,0,,,,,N,
SJ7,SP,SJ7,,08,2,,I,,09,08,MS,,,,,,,0,0,,,,,N,
SJAT,SP,CREATIVE ARTS,,09,2,,O,,07,09,DE,,,,,SJAT,,0,0,,,,,N,
SJAUS,SP,AUSLAN,,09,2,,I,,02,09,ZL,,,,,,,0,0,,,,,N,
SJBG,SP,BOYS GROUP,,09,2,,I,,09,09,ZZ,,,,,SJBG,,0,0,,,,,N,
SJCA,SP,COMMUNITY LEARNING,,09,2,,I,,09,09,ZZ,,,,,SJCA,,0,0,,,,,N,
SJCOM,SP,COMMUNICATIONS,,09,2,,I,,09,09,EG,,,,,,,0,0,,,,,N,
SJCS,SP,CULTURAL STUDIES,,09,2,,I,,09,09,ZZ,,,,,SJCS,,0,0,,,,,N,
SJDA,SP,DANCE,,09,2,,I,,07,09,DA,,,,,,,0,0,,,,,N,
SJDDN,SP,DIGITAL DESIGN,,09,2,,I,,08,09,IF,,,,,,,0,0,,,,,N,
SJDE,SP,DUKE OF EDINBURGH,,09,2,,I,,09,09,MM,,,,,,,0,0,,,,,N,
SJDN,SP,DESIGN TECHNOLOGY,,09,2,,O,,07,09,DE,,,,,,,0,0,,,,,N,
SJDR,SP,DRAMA,,09,2,,I,,09,09,DR,,,,,,,0,0,,,,,N,
SJDT,SP,DIGITAL TECHNOLOGY,,09,2,,I,,08,09,IF,,,,,,,0,0,,,,,N,
SJEG,SP,ENGLISH,,09,2,,O,,01,09,EG,,,,,SJEG,,0,0,,,,,N,
SJENG,SP,ENGLISH,,09,2,,I,,01,09,EG,,,,,,,0,0,,,,,N,
SJFD,SP,FOOD,,09,2,,O,,09,09,HE,,,,,,,0,0,,,,,N,
SJHE,SP,HEALTH,,09,2,,I,,04,09,HA,,,,,SJHE,,0,0,,,,,N,
SJHEA,SP,HEALTH,HEALTH,09,,,I,,04,09,HA,,,,,SJHEA,,0,0,,,,,N,
SJHO,SP,HORTICULTURE,,09,,,I,,05,09,AG,,,,,SJHO,,0,0,,,,,N,
SJHPE,SP,HEALTH AND PHYSICAL EDUCATION,,09,2,,I,,04,09,PE,,,,,,,0,0,,,,,N,
SJHUM,SP,HUMANITIES,,09,2,,O,,06,09,SV,,,,,,,0,0,,,,,N,
SJIT,SP,INFORMATION TECHNOLOGY,,09,2,,I,,08,09,IF,,,,,SJIT,,0,0,,,,,N,
SJLA,SP,LANGUAGE B,,09,2,,I,,02,09,LS,,,,,SJLA,,0,0,,,,,N,
SJLAA,SP,LANGUAGE A,,09,2,,I,,02,09,ZL,,,,,SJLAA,,0,0,,,,,N,
SJLAB,SP,SIGN,,09,,,I,,02,09,LS,,,,,SJLAB,,0,0,,,,,N,
SJLI,SP,LITERACY,,09,2,,I,,01,09,EG,,,,,,,0,0,,,,,N,
SJLIT,SP,LITERACY,,09,2,,I,,09,09,EG,,,,,,,0,0,,,,,N,
SJMA,SP,MATHEMATICS,,09,2,,O,,03,09,MA,,,,,SJMA,,0,0,,,,,N,
SJMM,SP,MULTIMEDIA,MM,09,,,I,,08,09,CP,,,,,SJMM,,0,0,,,,,N,
SJMTH,SP,MATHEMATICS,,09,2,,I,,03,09,MA,,,,,,,0,0,,,,,N,
SJMU,SP,MUSIC,,09,2,,I,,09,09,MU,,,,,,,0,0,,,,,N,
SJNU,SP,NUMERACY,,09,2,,I,,03,09,MA,,,,,,,0,0,,,,,N,
SJNUM,SP,NUMERACY,,09,2,,I,,09,09,MA,,,,,,,0,0,,,,,N,
SJPA,SP,PHYSICAL ACTIVITY,,09,,,I,,04,09,PE,,,,,SJPA,,0,0,,,,,N,
SJPE,SP,PHYSICAL EDUCATION,,09,2,,I,,04,09,PE,,,,,SJPE,,0,0,,,,,N,
SJPERF,SP,PERFORMING ARTS,,08,2,,O,,07,08,ZD,,,,,,,0,0,,,,,N,
SJSC,SP,SCIENCE,,09,2,,O,,05,09,SC,,,,,,,0,0,,,,,N,
SJSCI,SP,SCIENCE,,09,2,,I,,05,09,SC,,,,,,,0,0,,,,,N,
SJSE,SP,HUMANITIES,,09,2,,I,,06,09,SV,,,,,SJSE,,0,0,,,,,N,
SJSI,SP,SCIENCE,,09,2,,I,,07,09,SC,,,,,SJSI,,0,0,,,,,N,
