sub_code,sub_name
0SUSE,SUSTAINABLE ENVIRONMENTS
0TARGWK,TARGET WORK
0TRSM,TOURISM
0TUT,TUTORING
0TXT,TEXTILES
0WWK,WOODWORK
0WWKF,WOODWORK
0WWKS,WOODWORK
1ABG,SAASTA ABORIGINAL STUDIES
1AIP,"POLITICS, POWER AND PEOPLE"
1APC,ABORIGINAL POWER CUP
1ART,ART PRACTICAL
1BEM10,BUSINESS & INNOVATION: MODIFIED
1BEM20,BUSINESS & ENTERPRISE: MODIFIED
1BGY,BIOLOGY
1BIG,BIOLOGY
1BIM10,BUSINESS INNOVATION: MODIFIED
1BUS,BUSINESS STUDIES
1CARE,CARE GROUP
1CCP,PHOTOGRAPHY
1CEM,CHEMISTRY
1CHC,CHINESE (CONTINUERS)
1CHE,CHINESE
1CHI,CHINESE
1CME,CHEMISTRY
1CRVA,SPORT AND RECREATION
1CSA1,ARTS AND THE COMMUNITY GP1
1CSD,CHILD STUDIES
1CVA,CREATIVE ARTS (MUSIC)
1CVM10,CREATIVE ARTS MODIFIED
1CVM102,CREATIVE ARTS: MODIFIED
1CVM20,CREATIVE ARTS: MODIFIED
1CWVB,COMMUNITY WORK VET
1CXDST,SAASTA SHIELD
1CXDSTMS,SAASTA SHIELD
1CXM10,CROSS DISCIPLINARY STUDIES: MODIFIED
1CXM10PE,CROSS DISCIPLINARY STUDIES: MODIFIED
1CXM20,CROSS DISCIPLINARY STUDIES: MODIFIED
1DAE,PERFORMANCE DANCE
1DCSPH,PHOTOGRAPHY
1DGT,DIGITAL TECHNOLOGIES
1DGTIT,INFORMATION TECHNOLOGIES
1DPUB,DIGITAL PUBLISHING
1DTM,"DESIGN, TECHNOLOGY & ENGINEERING: MODIFIED"
1EAL,ENGLISH AS AN ADDITIONAL LANGUAGE
1EGH,ENGLISH
1EGU,ENGLISH AS AN ADDITIONAL LANGUAGE
1ELEC,ELECTRONICS
1EMP10,ENGLISH PATHWAYS: MODIFIED
1EPM10,ENGLISH: MODIFIED
1EPM102,ENGLISH PATHWAYS: MODIFIED
1EPM103,ENGLISH PATHWAYS: MODIFIED
1EPM20,ENGLISH: MODIFIED
1EPM20A,ENGLISH PATHWAYS: MODIFIED
1EPW,ENGLISH PATHWAYS
1EPWCTUP,ENGLISH PATHWAYS CATCH UP
1EPWU,ENGLISH PATHWAYS (UNI)
1EPWV,ENGLISH PATHWAYS (VOC)
1EPWVO,ENGLISH PATHWAYS (VOC)
1ESH,ENGLISH
1ESL1,ENGLISH AS A SECOND LANGUAGE
1ETE,ESSENTIAL ENGLISH
1ETEEAL,ESSENTIAL ENGLISH (EAL)
1ETELT,ESSENTIAL ENGLISH (LITERACY)
1ETEU,ESSENTIAL ENGLISH (UNI PATH)
1ETEV,ESSENTIAL ENGLISH (VOC PATH)
1FOH,FOOD AND HOSPITALITY
1GEO,GEOGRAPHY
1GPY,GEOGRAPHY
1HEH,HEALTH
1HEHPED,POSITIVE EDUCATION
1HEM10,HEALTH: MODIFIED
1HEM10B,HEALTH: MODIFIED
1HEM20,HEALTH: MODIFIED
1HEW,HEALTH AND WELLBEING
1HFIT,HEALTH AND FITNESS
1HIS,HISTORY
1HSY,MODERN HISTORY
1HWM10,HEALTH & WELLBEING: MODIFIED
1IESDPRO,DIGITAL PRODUCTS
1IFT,INFORMATION TECHNOLOGY
1IGLDN,DANCE - INTEGRATED LEARNING
1IL1ELE,ELECTRONICS
1ILG10PE,INTEGRATED LEARNING PE
1ILGDN,DANCE INTEGRATED LEARNING
