No,Faculty,Subject Code,Subject Name,Class Code,Class Name,Class Suffix,BOS Class Code,BOS Code 2,BOS Code 3,Periods,Load,Students,Teachers Taking,Teachers In Faculty
241,Care Groups,7PD,07 Personal Development,7PDE,07 Personal DevelopmentE,E,,,,2,1.30,0,1,55
242,Care Groups,7PD,07 Personal Development,7PDF,07 Personal DevelopmentF,F,,,,2,1.30,0,1,55
243,Care Groups,7PD,07 Personal Development,7PDG,07 Personal DevelopmentG,G,,,,2,1.30,0,1,55
244,Care Groups,7PD,07 Personal Development,7PDH,07 Personal DevelopmentH,H,,,,2,1.30,0,1,55
245,Care Groups,7PD,07 Personal Development,7PDI,07 Personal DevelopmentI,I,,,,2,1.30,0,1,55
246,Science,7SCIE,07 Science E,7SCIE1,07 Science E1,1,,,,4,4.00,0,0,12
247,Science,7SCIL,07 Science L,7SCIL1,07 Science L1,1,,,,4,4.00,0,0,12
248,Science,7SCIO,07 Science O2,7SCIO2,07 Science O22,2,,,,4,4.00,0,0,12
249,Science,7SCIO,07 Science O3,7SCIO3,07 Science O33,3,,,,4,4.00,0,0,12
250,Science,7SCIO,07 Science O4,7SCIO4,07 Science O44,4,,,,4,4.00,0,0,12
251,Science,7SCIO,07 Science O5,7SCIO5,07 Science O55,5,,,,4,4.00,0,0,12
252,Science,7SCIO,07 Science O1,7SCIO1,07 Science O11,1,,,,4,4.00,0,0,12
253,Science,7SCIP,07 Science P,7SCIP1,07 Science P1,1,,,,4,4.00,0,0,12
254,Design Technology,7TECH,07 Design & Technology,7TECH1A,07 Design & Technology1A,1A,,,,4,4.00,19,0,6
255,Design Technology,7TECH,07 Design & Technology,7TECH1C,07 Design & Technology1C,1C,,,,4,4.00,20,0,6
256,Arts,8ART,08 Visual Arts,8ART1A,08 Visual Arts1A,1A,,,,4,4.00,12,0,7
257,Care Groups,8CARE,08 Care,8CAREA,08 CareA,A,,,,4,0.32,0,1,55
258,Care Groups,8CARE,08 Care,8CAREB,08 CareB,B,,,,4,0.32,0,1,55
259,Care Groups,8CARE,08 Care,8CAREC,08 CareC,C,,,,4,0.32,0,1,55
260,Care Groups,8CARE,08 Care,8CARED,08 CareD,D,,,,4,0.32,0,1,55
261,Care Groups,8CARE,08 Care,8CAREE,08 CareE,E,,,,4,0.32,0,1,55
262,Care Groups,8CARE,08 Care,8CAREF,08 CareF,F,,,,4,0.32,0,1,55
263,Care Groups,8CARE,08 Care,8CAREG,08 CareG,G,,,,4,0.32,0,1,55
264,Care Groups,8CARE,08 Care,8CAREH,08 CareH,H,,,,4,0.32,0,1,55
265,Care Groups,8CARE,08 Care,8CAREI,08 CareI,I,,,,4,0.32,0,1,55
266,Arts,8DAN,08 Dance,8DAN1A,08 Dance1A,1A,,,,4,4.00,16,0,7
267,Arts,8DAN,08 Dance,8DAN1B,08 Dance1B,1B,,,,4,4.00,20,0,7
268,Digital Tech,8DTE,08 Digital Technology,8DTE1A,08 Digital Technology1A,1A,,,,4,4.00,19,0,4
269,Digital Tech,8DTE,08 Digital Technology,8DTE1D,08 Digital Technology1D,1D,,,,4,4.00,23,0,4
270,English,8EALA,08 English E,8EALA1A,08 English E1A,1A,,,,4,4.00,0,0,11
271,English,8EALB,08 English as a Sec Lang B,8EALB1A,08 English as a Sec Lang B1A,1A,,,,4,4.00,20,0,11
272,English,8ENGL,08 English L1,8ENGL1A,08 English L11A,1A,,,,4,4.00,0,0,11
273,English,8ENGO,08 English O1,8ENGO1A,08 English O11A,1A,,,,4,4.00,0,0,11
274,English,8ENGO,08 English O2,8ENGO2A,08 English O22A,2A,,,,4,4.00,0,0,11
275,English,8ENGO,08 English O3,8ENGO3A,08 English O33A,3A,,,,4,4.00,0,0,11
276,English,8ENGO,08 English O4,8ENGO4A,08 English O44A,4A,,,,4,4.00,0,0,11
277,English,8ENGO,08 English O5,8ENGO5A,08 English O55A,5A,,,,4,4.00,0,0,11
278,English,8ENGP,08 English P1,8ENGP1A,08 English P11A,1A,,,,4,4.00,0,0,11
279,Food Tech,8FOD,08 Food and Nutrition,8FOD1A,08 Food and Nutrition1A,1A,,,,4,4.00,22,0,6
280,Food Tech,8FOD,08 Food and Nutrition,8FOD1B,08 Food and Nutrition1B,1B,,,,4,4.00,21,0,6
281,Food Tech,8FOD,08 Food and Nutrition,8FOD1E,08 Food and Nutrition1E,1E,,,,4,4.00,22,0,6
282,Food Tech,8FOD,08 Food and Nutrition,8FOD1F,08 Food and Nutrition1F,1F,,,,4,4.00,22,0,6
283,Health & PE,8HPE,08 Health and Physical Education,8HPE1A,08 Health and Physical Education1A,1A,,,,4,4.00,23,0,11
284,Health & PE,8HPE,08 Health and Physical Education,8HPE1B,08 Health and Physical Education1B,1B,,,,4,4.00,23,0,11
285,Health & PE,8HPE,08 Health and Physical Education,8HPE1D,08 Health and Physical Education1D,1D,,,,4,4.00,25,0,11
286,Health & PE,8HPE,08 Health and Physical Education,8HPE1E,08 Health and Physical Education1E,1E,,,,4,4.00,25,0,11
287,Health & PE,8HPE,08 Health and Physical Education,8HPE1F,08 Health and Physical Education1F,1F,,,,4,4.00,23,0,11
288,Health & PE,8HPE,08 Health and Physical Education,8HPE1G,08 Health and Physical Education1G,1G,,,,4,4.00,23,0,11
289,Health & PE,8HPE,08 Health and Physical Education,8HPE1H,08 Health and Physical Education1H,1H,,,,4,4.00,22,0,11
290,Health & PE,8HPE,08 Health and Physical Education,8HPE1I,08 Health and Physical Education1I,1I,,,,4,4.00,22,0,11
291,Humanities,8HUME,08 Humanities E,8HUME1A,08 Humanities E1A,1A,,,,4,4.00,0,0,10
292,Humanities,8HUML,08 Humanities L,8HUML1A,08 Humanities L1A,1A,,,,4,4.00,0,0,10
293,Humanities,8HUMO,08 Humanities O,8HUMO1A,08 Humanities O1A,1A,,,,4,4.00,0,0,10
294,Humanities,8HUMO,08 Humanities O2,8HUMO2A,08 Humanities O22A,2A,,,,4,4.00,0,0,10
295,Humanities,8HUMO,08 Humanities O3,8HUMO3A,08 Humanities O33A,3A,,,,4,4.00,0,0,10
296,Humanities,8HUMO,08 Humanities O4,8HUMO4A,08 Humanities O44A,4A,,,,4,4.00,0,0,10
297,Humanities,8HUMO,08 Humanities O5,8HUMO5A,08 Humanities O55A,5A,,,,4,4.00,0,0,10
298,Humanities,8HUMP,08 Humanities P,8HUMP1A,08 Humanities P1A,1A,,,,4,4.00,0,0,10
299,Languages,8ITA,08 Italian,8ITA1A,08 Italian1A,1A,,,,4,4.00,24,0,2
300,Languages,8ITA,08 Italian,8ITA1B,08 Italian1B,1B,,,,4,4.00,24,0,2
301,Languages,8ITA,08 Italian,8ITA1C,08 Italian1C,1C,,,,4,4.00,24,0,2
302,Intervention,8LITAF,08 Literacy (ATSI Focus),8LITAF1A,08 Literacy (ATSI Focus)1A,1A,,,,4,4.00,5,0,0
303,Intervention,8LITP,08 Literacy P,8LITP1A,08 Literacy P1A,1A,,,,4,4.00,18,0,0
304,Intervention,8LNSP,08 Learning Support,8LNSP1A,08 Learning Support1A,1A,,,,4,4.00,11,0,0
305,Design Technology,8MDNM,08 Materials Design with Metal,8MDNM1A,08 Materials Design with Metal1A,1A,,,,4,4.00,20,0,6
306,Design Technology,8MDNM,08 Materials Design with Metal,8MDNM1C,08 Materials Design with Metal1C,1C,,,,4,4.00,16,0,6
307,Design Technology,8MDNW,08 Materials Design with Wood,8MDNW1B,08 Materials Design with Wood1B,1B,,,,4,4.00,19,0,6
308,Mathematics,8MTHE,08 Mathematics E1,8MTHE1A,08 Mathematics E11A,1A,,,,4,4.00,0,0,13
309,Mathematics,8MTHL,08 Mathematics L1,8MTHL1A,08 Mathematics L11A,1A,,,,4,4.00,0,0,13
310,Mathematics,8MTHO,08 Mathematics O1,8MTHO1A,08 Mathematics O11A,1A,,,,4,4.00,0,0,13
311,Mathematics,8MTHO,08 Mathematics O2,8MTHO2A,08 Mathematics O22A,2A,,,,4,4.00,0,0,13
312,Mathematics,8MTHO,08 Mathematics O3,8MTHO3A,08 Mathematics O33A,3A,,,,4,4.00,0,0,13
313,Mathematics,8MTHO,08 Mathematics O4,8MTHO4A,08 Mathematics O44A,4A,,,,4,4.00,0,0,13
314,Mathematics,8MTHO,08 Mathematics O5,8MTHO5A,08 Mathematics O55A,5A,,,,4,4.00,0,0,13
315,Mathematics,8MTHP,08 Mathematics P1,8MTHP1A,08 Mathematics P11A,1A,,,,4,4.00,0,0,13
316,Arts,8MUS,08 Music,8MUS1A,08 Music1A,1A,,,,4,4.00,21,0,7
317,Care Groups,8PD,08 Personal Development,8PDA,08 Personal DevelopmentA,A,,,,2,1.30,0,1,55
318,Care Groups,8PD,08 Personal Development,8PDB,08 Personal DevelopmentB,B,,,,2,1.30,0,1,55
319,Care Groups,8PD,08 Personal Development,8PDC,08 Personal DevelopmentC,C,,,,2,1.30,0,1,55
320,Care Groups,8PD,08 Personal Development,8PDD,08 Personal DevelopmentD,D,,,,2,1.30,0,1,55
321,Care Groups,8PD,08 Personal Development,8PDE,08 Personal DevelopmentE,E,,,,2,1.30,0,1,55
322,Care Groups,8PD,08 Personal Development,8PDF,08 Personal DevelopmentF,F,,,,2,1.30,0,1,55
323,Care Groups,8PD,08 Personal Development,8PDG,08 Personal DevelopmentG,G,,,,2,1.30,0,1,55
324,Care Groups,8PD,08 Personal Development,8PDH,08 Personal DevelopmentH,H,,,,2,1.30,0,1,55
325,Care Groups,8PD,08 Personal Development,8PDI,08 Personal DevelopmentI,I,,,,2,1.30,0,1,55
326,Science,8SCIE,08 Science E1,8SCIE1A,08 Science E11A,1A,,,,4,4.00,0,0,12
327,Science,8SCIL,08 Science L1,8SCIL1A,08 Science L11A,1A,,,,4,4.00,0,0,12
328,Science,8SCIO,08 Science O1,8SCIO1A,08 Science O11A,1A,,,,4,4.00,0,0,12
329,Science,8SCIO,08 Science O2,8SCIO2A,08 Science O22A,2A,,,,4,4.00,0,0,12
330,Science,8SCIO,08 Science O3,8SCIO3A,08 Science O33A,3A,,,,4,4.00,0,0,12
331,Science,8SCIO,08 Science O4,8SCIO4A,08 Science O44A,4A,,,,4,4.00,0,0,12
332,Science,8SCIO,08 Science O5,8SCIO5A,08 Science O55A,5A,,,,4,4.00,0,0,12
333,Science,8SCIP,08 Science P,8SCIP1A,08 Science P1A,1A,,,,4,4.00,0,0,12
334,Arts,9ART,09 Visual Art,9ART1A,09 Visual Art1A,1A,,,,4,4.00,20,0,7
335,Arts,9ART,09 Visual Art,9ART1B,09 Visual Art1B,1B,,,,4,4.00,19,0,7
336,Care Groups,9CARE,09 Care,9CAREA,09 CareA,A,,,,4,0.32,0,1,55
337,Care Groups,9CARE,09 Care,9CAREB,09 CareB,B,,,,4,0.32,0,1,55
338,Care Groups,9CARE,09 Care,9CAREC,09 CareC,C,,,,4,0.32,0,1,55
339,Care Groups,9CARE,09 Care,9CARED,09 CareD,D,,,,4,0.32,0,1,55
340,Care Groups,9CARE,09 Care,9CAREE,09 CareE,E,,,,4,0.32,0,1,55
341,Care Groups,9CARE,09 Care,9CAREF,09 CareF,F,,,,4,0.32,0,1,55
342,Care Groups,9CARE,09 Care,9CAREG,09 CareG,G,,,,4,0.32,0,1,55
343,Care Groups,9CARE,09 Care,9CAREH,09 CareH,H,,,,4,0.32,0,1,55
344,Care Groups,9CARE,09 Care,9CAREI,09 CareI,I,,,,4,0.32,0,1,55
345,Food Tech,9CR8FD,09 Creative Food for Life,9CR8FD1A,09 Creative Food for Life1A,1A,,,,4,4.00,18,0,6
346,Arts,9DAN,09 Dance,9DAN1A,09 Dance1A,1A,,,,4,4.00,15,0,7
347,Arts,9DAN,09 Dance,9DAN1B,09 Dance1B,1B,,,,4,4.00,19,0,7
348,Arts,9DRA,09 Drama,9DRA1A,09 Drama1A,1A,,,,4,4.00,20,0,7
349,Digital Tech,9DTE,09 Digital Technology,9DTE1A,09 Digital Technology1A,1A,,,,4,4.00,15,0,4
350,English,9EALA,09 English E,9EALA1A,09 English E1A,1A,,,,4,4.00,0,0,11
351,English,9ENGL,09 English L1,9ENGL1A,09 English L11A,1A,,,,4,4.00,0,0,11
352,English,9ENGO,09 English O1,9ENGO1A,09 English O11A,1A,,,,4,4.00,0,0,11
353,English,9ENGO,09 English O2,9ENGO2A,09 English O22A,2A,,,,4,4.00,0,0,11
354,English,9ENGO,09 English O3,9ENGO3A,09 English O33A,3A,,,,4,4.00,0,0,11
355,English,9ENGO,09 English O4,9ENGO4A,09 English O44A,4A,,,,4,4.00,0,0,11
356,English,9ENGO,09 English O5,9ENGO5,09 English O55,5,,,,4,4.00,0,0,11
357,English,9ENGP,09 English P1,9ENGP1A,09 English P11A,1A,,,,4,4.00,0,0,11
358,Design Technology,9ENGTEC,09 Engineering Tech,9ENGTEC1A,09 Engineering Tech1A,1A,,,,4,4.00,12,0,6
359,English,9ESLB,09 English as an Additional Language,9ESLB1A,09 English as an Additional Language1A,1A,,,,4,4.00,19,0,11
360,Food Tech,9FODN,09 Food & Nutrition,9FODN1A,09 Food & Nutrition1A,1A,,,,4,4.00,20,0,6
361,Food Tech,9FODN,09 Food & Nutrition,9FODN1B,09 Food & Nutrition1B,1B,,,,4,4.00,20,0,6
362,Humanities,9HUME,09 Humanities E1,9HUME1A,09 Humanities E11A,1A,,,,4,4.00,0,0,10
363,Humanities,9HUML,09 Humanities L1,9HUML1A,09 Humanities L11A,1A,,,,4,4.00,0,0,10
364,Humanities,9HUMO,09 Humanities O1,9HUMO1A,09 Humanities O11A,1A,,,,4,4.00,0,0,10
365,Humanities,9HUMO,09 Humanities O2,9HUMO2A,09 Humanities O22A,2A,,,,4,4.00,0,0,10
366,Humanities,9HUMO,09 Humanities O3,9HUMO3A,09 Humanities O33A,3A,,,,4,4.00,0,0,10
367,Humanities,9HUMO,09 Humanities O4,9HUMO4A,09 Humanities O44A,4A,,,,4,4.00,0,0,10
368,Humanities,9HUMO,09 Humanities O5,9HUMO5,09 Humanities O55,5,,,,4,4.00,0,0,10
369,Humanities,9HUMP,09 Humanities P1,9HUMP1A,09 Humanities P11A,1A,,,,4,4.00,0,0,10
370,Languages,9ITA,09 Italian,9ITA1A,09 Italian1A,1A,,,,4,4.00,23,0,2
371,Intervention,9LITP,09 Literacy P,9LITP1A,09 Literacy P1A,1A,,,,4,4.00,19,0,0
372,Intervention,9LNSP,09 Learning Support,9LNSP1A,09 Learning Support1A,1A,,,,4,4.00,11,0,0
373,Arts,9MDFL,09 Media Arts Film & Cinematography,9MDFL1A,09 Media Arts Film & Cinematography1A,1A,,,,4,4.00,10,0,7
374,Design Technology,9MDNM,09 Material Design with Metal,9MDNM1A,09 Material Design with Metal1A,1A,,,,4,4.00,19,0,6
375,Design Technology,9MDNW,09 Material Design with Wood,9MDNW1A,09 Material Design with Wood1A,1A,,,,4,4.00,20,0,6
376,Design Technology,9MDNW,09 Material Design with Wood,9MDNW1B,09 Material Design with Wood1B,1B,,,,4,4.00,20,0,6
377,Mathematics,9MTHE,09 Mathematics E1,9MTHE1A,09 Mathematics E11A,1A,,,,4,4.00,0,0,13
378,Mathematics,9MTHL,09 Mathematics L1,9MTHL1A,09 Mathematics L11A,1A,,,,4,4.00,0,0,13
379,Mathematics,9MTHO,09 Mathematics O1,9MTHO1A,09 Mathematics O11A,1A,,,,4,4.00,0,0,13
380,Mathematics,9MTHO,09 Mathematics O2,9MTHO2A,09 Mathematics O22A,2A,,,,4,4.00,0,0,13
381,Mathematics,9MTHO,09 Mathematics O3,9MTHO3A,09 Mathematics O33A,3A,,,,4,4.00,0,0,13
382,Mathematics,9MTHO,09 Mathematics O4,9MTHO4A,09 Mathematics O44A,4A,,,,4,4.00,0,0,13
383,Mathematics,9MTHO,09 Mathematics O5,9MTHO5,09 Mathematics O55,5,,,,4,4.00,0,0,13
384,English,9MTHP,09 English P,9MTHP1A,09 English P1A,1A,,,,4,4.00,0,0,11
385,Arts,9MUS,09 Music,9MUS1A,09 Music1A,1A,,,,4,4.00,22,0,7
386,Care Groups,9PD,09 Personal Development,9PDA,09 Personal DevelopmentA,A,,,,2,1.30,0,1,55
387,Care Groups,9PD,09 Personal Development,9PDB,09 Personal DevelopmentB,B,,,,2,1.30,0,1,55
388,Care Groups,9PD,09 Personal Development,9PDC,09 Personal DevelopmentC,C,,,,2,1.30,0,1,55
389,Care Groups,9PD,09 Personal Development,9PDD,09 Personal DevelopmentD,D,,,,2,1.30,0,1,55
390,Care Groups,9PD,09 Personal Development,9PDE,09 Personal DevelopmentE,E,,,,2,1.30,0,1,55
391,Care Groups,9PD,09 Personal Development,9PDF,09 Personal DevelopmentF,F,,,,2,1.30,0,1,55
392,Care Groups,9PD,09 Personal Development,9PDG,09 Personal DevelopmentG,G,,,,2,1.30,0,1,55
393,Care Groups,9PD,09 Personal Development,9PDH,09 Personal DevelopmentH,H,,,,2,1.30,0,1,55
394,Care Groups,9PD,09 Personal Development,9PDI,09 Personal DevelopmentI,I,,,,2,1.30,0,1,55
395,Design Technology,9PGHD,09 Digital Photography,9PGHD1A,09 Digital Photography1A,1A,,,,4,4.00,16,0,6
396,Health & PE,9PHE,09 Health and Physical Education,9PHE1A,09 Health and Physical Education1A,1A,,,,4,4.00,23,0,11
397,Health & PE,9PHE,09 Health and Physical Education,9PHE1B,09 Health and Physical Education1B,1B,,,,4,4.00,22,0,11
398,Health & PE,9PHE,09 Health and Physical Education,9PHE1C,09 Health and Physical Education1C,1C,,,,4,4.00,21,0,11
399,Health & PE,9PHE,09 Health and Physical Education,9PHE1D,09 Health and Physical Education1D,1D,,,,4,4.00,21,0,11
400,Health & PE,9PHE,09 Health and Physical Education,9PHE1E,09 Health and Physical Education1E,1E,,,,4,4.00,20,0,11
401,Health & PE,9PHE,09 Health and Physical Education,9PHE1F,09 Health and Physical Education1F,1F,,,,4,4.00,21,0,11
402,Health & PE,9PHE,09 Health and Physical Education,9PHE1G,09 Health and Physical Education1G,1G,,,,4,4.00,21,0,11
403,Health & PE,9PHE,09 Health and Physical Education,9PHE1H,09 Health and Physical Education1H,1H,,,,4,4.00,20,0,11
404,Health & PE,9PHE,09 Health and Physical Education,9PHE1I,09 Health and Physical Education1I,1I,,,,4,4.00,17,0,11
405,Science,9SCIE,09 Science E,9SCIE1A,09 Science E1A,1A,,,,4,4.00,0,0,12
406,Science,9SCIL,09 Science L,9SCIL1A,09 Science L1A,1A,,,,4,4.00,0,0,12
407,Science,9SCIO,09 Science O1,9SCIO1A,09 Science O11A,1A,,,,4,4.00,0,0,12
408,Science,9SCIO,09 Science O2,9SCIO2A,09 Science O22A,2A,,,,4,4.00,0,0,12
409,Science,9SCIO,09 Science O3,9SCIO3A,09 Science O33A,3A,,,,4,4.00,0,0,12
410,Science,9SCIO,09 Science O4,9SCIO4A,09 Science O44A,4A,,,,4,4.00,0,0,12
411,Science,9SCIO,09 Science O5,9SCIO5,09 Science O55,5,,,,4,4.00,0,0,12
412,Science,9SCIP,09 Science P,9SCIP1A,09 Science P1A,1A,,,,4,4.00,0,0,12
413,Special Education,SC1DT1,SC1 Digital Tech,SC1DT1A,SC1 Digital TechA,A,,,,4,4.00,8,1,14
414,Special Education,SC1ENG1,SC1 English,SC1ENG1A,SC1 EnglishA,A,,,,5,5.00,8,1,14
415,Special Education,SC1HUM1,SC1 Humanities,SC1HUM1A,SC1 HumanitiesA,A,,,,4,4.00,8,1,14
416,Special Education,SC1MTH1,SC1 Mathematics,SC1MTH1A,SC1 MathematicsA,A,,,,4,4.00,8,1,14
417,Special Education,SC1ART1,SC1 Art,SC1MUS1A,SC1 ArtA,A,,,,4,4.00,8,1,14
418,Special Education,SC1SCI1,SC1 Science,SC1SCI1A,SC1 ScienceA,A,,,,3,3.00,8,1,14
419,Special Education,SC2ENG1,SC2 English,SC2ENG1A,SC2 EnglishA,A,,,,5,5.00,11,1,14
420,Special Education,SC2HUM1,SC2 Humanities,SC2HUM1A,SC2 HumanitiesA,A,,,,3,3.00,11,1,14
421,Special Education,SC2MTH1,SC2 Mathematics,SC2MTH1A,SC2 MathematicsA,A,,,,4,4.00,11,1,14
422,Special Education,SC2MUS1,SC2 Music,SC2MUS1A,SC2 MusicA,A,,,,4,4.00,11,1,14
423,Special Education,SC2SCI1,SC2 Science,SC2SCI1A,SC2 ScienceA,A,,,,4,4.00,11,1,14
424,Special Education,SC3ARTS1,SC3 Drama,SC3ARTS1A,SC3 DramaA,A,,,,4,4.00,11,1,14
425,Special Education,SC3ENG1,SC3 English,SC3ENG1A,SC3 EnglishA,A,,,,5,5.00,11,1,14
426,Special Education,SC3MTH1,SC3 Mathematics,SC3MTH1A,SC3 MathematicsA,A,,,,4,4.00,11,1,14
427,Special Education,SC3SC1,SC3 Science,SC3SC1A,SC3 ScienceA,A,,,,4,4.00,11,1,14
428,Special Education,SU1ART1,SU1 Arts (Music),SU1ART1A,SU1 Arts (Music)A,A,,,,4,4.00,4,1,14
429,Special Education,SU1ENG1,SU1 English,SU1ENG1A,SU1 EnglishA,A,,,,5,5.00,4,1,14
430,Special Education,SU1FD1,SU1 Food Technology,SU1FD1A,SU1 Food TechnologyA,A,,,,4,4.00,4,1,14
431,Special Education,SU1HUM1,SU1 Humanities,SU1HUM1A,SU1 HumanitiesA,A,,,,4,4.00,4,1,14
432,Special Education,SU1MTH1,SU1 Mathematics,SU1MTH1A,SU1 MathematicsA,A,,,,4,4.00,4,1,14
433,Special Education,SU1SCI1,SU1 Science,SU1SCI1A,SU1 ScienceA,A,,,,3,3.00,4,1,14
434,Special Education,SU2ARTS1,SU2 Art,SU2ARTS1A,SU2 ArtA,A,,,,4,4.00,5,1,14
435,Special Education,SU2ENG1,SU2 English,SU2ENG1A,SU2 EnglishA,A,,,,5,5.00,5,1,14
436,Special Education,SU2HUM1,SU2 Humanities,SU2HUM1A,SU2 HumanitiesA,A,,,,3,3.00,5,1,14
437,Special Education,SU2MTH1,SU2 Mathematics,SU2MTH1A,SU2 MathematicsA,A,,,,4,4.00,5,1,14
438,Special Education,SU2SCI1,SU2 Science,SU2SCI1A,SU2 ScienceA,A,,,,4,4.00,5,1,14
439,Special Education,SU3ENG1,SU3 English,SU3ENG1A,SU3 EnglishA,A,,,,5,5.00,0,1,14
440,Special Education,SU3HE1,SU3 Health,SU3HE1A,SU3 HealthA,A,,,,4,4.00,0,1,14
441,Special Education,SU3MTH1,SU3 Mathematics,SU3MTH1A,SU3 MathematicsA,A,,,,4,4.00,0,1,14
442,Special Education,SWDPE1,SWD Physical Education,SWDPE1A,SWD Physical EducationA,A,,,,4,4.00,8,1,14
443,Special Education,SWDPE1,SWD Physical Education,SWDPE1B,SWD Physical EducationB,B,,,,4,4.00,11,1,14
444,Special Education,SWDPE1,SWD Physical Education,SWDPE1F,SWD Physical EducationF,F,,,,4,4.00,11,1,14
445,Special Education,SWDPE1,SWD Physical Education,SWDPE1C,SWD Physical EducationC,C,,,,4,4.00,0,1,14
446,Special Education,SWDPE1,SWD Physical Education,SWDPE1D,SWD Physical EducationD,D,,,,4,4.00,5,1,14
447,Special Education,SWDPE1,SWD Physical Education,SWDPE1E,SWD Physical EducationE,E,,,,4,4.00,0,1,14
448,Special Education,SC3HUM1,SC3 Humanities,SC3HUM1A,SC3 HumanitiesA,A,,,,4,4.00,11,1,14
449,Special Education,SC2DT1,SC2 Digital Technology,SC2DT1A,SC2 Digital TechnologyA,A,,,,4,4.00,11,1,14
450,Special Education,SC3HWB1,SC3 Health & Wellbeing,SC3HWB1A,SC3 Health & WellbeingA,A,,,,3,3.00,11,1,14
451,Special Education,SU2FD1,SU2 Food Technology,SU2FD1A,SU2 Food TechnologyA,A,,,,4,4.00,5,1,14
452,Special Education,SU3CXD1,SU3 Cross Disciplinary Studies,SU3CXD1A,SU3 Cross Disciplinary StudiesA,A,,,,3,3.00,0,1,14
453,Special Education,SU3SCI1,SU3 Scientific Studies,SU3SCI1A,SU3 Scientific StudiesA,A,,,,4,4.00,0,1,14
454,Special Education,SU3SC1,SU3 Society & Culture,SU3SC1A,SU3 Society & CultureA,A,,,,4,4.00,0,1,14
455,Special Education,SC4SCI1,SC4 Scientific Studies,SC4SCI1A,SC4 Scientific StudiesA,A,,,,4,4.00,0,1,14
456,Special Education,SC4SC1,SC4 Society & Culture,SC4SC1A,SC4 Society & CultureA,A,,,,3,3.00,0,1,14
457,Special Education,SWDPE1,SWD Physical Education,SWDPE1G,SWD Physical EducationG,G,,,,4,4.00,0,1,14
458,Special Education,SC4ENG1,SC4 English,SC4ENG1A,SC4 EnglishA,A,,,,5,5.00,0,1,14
459,Special Education,SC4DTE1,SC4 Design Tech,SC4DTE1A,SC4 Design TechA,A,,,,4,4.00,0,1,14
460,Special Education,SC4LCU1,SC4 Language & Culture,SC4LCU1A,SC4 Language & CultureA,A,,,,4,4.00,0,1,14
461,Special Education,SC4MTH1,SC4 Mathematics,SC4MTH1A,SC4 MathematicsA,A,,,,4,4.00,0,1,14
,,,,,,,,,,,,,,
